ST,ORI,GRP,DIV,YEAR,MSA,CD1,CD2,CD3,ADJD,OFF,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M24,F3,F4,F5,F6,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F24,AW,AB,AI,AO1,AH,AN
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",170,0,0,0,1,1,4,2,2,3,1,1,0,4,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",180,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",190,0,1,0,0,2,2,4,2,4,6,4,34,41,27,33,37,65,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2,0,3,0,67,207,1,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",200,0,0,0,0,1,4,2,10,6,6,6,39,41,24,23,10,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,124,58,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",210,0,0,0,0,0,0,1,0,2,2,0,14,14,19,15,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,79,21,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",220,0,0,1,0,1,0,1,0,1,1,2,9,13,9,16,8,22,0,0,0,0,1,0,1,0,0,0,0,1,0,3,5,8,0,2,0,41,64,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",230,0,0,0,0,0,2,1,1,3,1,0,11,13,19,32,11,40,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,1,0,0,111,33,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",240,0,0,3,6,6,3,3,9,5,4,4,21,20,16,11,5,8,0,0,0,0,0,1,0,0,0,2,1,1,2,6,3,3,0,1,0,97,47,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",250,0,1,2,1,1,0,2,0,1,1,1,8,5,2,8,6,6,0,0,0,0,1,0,0,1,4,4,5,1,8,10,1,3,1,1,0,60,25,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",260,8,10,5,12,11,13,12,7,15,15,12,69,79,77,46,29,51,0,0,0,0,6,3,1,0,3,0,0,0,5,5,6,3,2,0,0,353,152,0,0,0,0
Alabama,AL00203,6,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Alabama,AL00203,6,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Alabama,AL00203,6,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alabama,AL00203,6,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
